serial_number,failure
ZLW0C6WP,0
8190A129FV8G,0
ZJV2EPWL,0
ZJV5KQAF,0
ZA171BGQ,0
Z3053J84,1
ZL2L8GZY,0
ZCH0BZ4L,0
ZLW0TZD2,0
5PHZ4ESD,0
ZL2CGZ88,0
VKGKN94X,0
ZL005DWX,0
8CGKHN8G,0
ZA18AC2Z,1
20W0A0FLF97G,0
ZCH07VQQ,0
ZL22ZHRD,0
7030A04DF97G,0
81B0A076FVKG,0
ZA153S5V,1
PL2331LAHBE7VJ,0
8DKKRRSH,0
ZA13MQL1,0
51S0A35LFVGG,0
ZJV0W7R2,1
10A0A002F9RG,0
ZL2CMMWP,0
20H0A1ECF97G,0
5PHKY83F,0
ZLW18EHB,1
ZJV4RVN4,0
2BHX17SN,0
ZL23XSDK,1
ZJV1CG8W,0
ZLW2JNAY,0
PL1311LAG3DLGH,0
Z305DW2Q,1
5090A0DAF97G,0
Z4D05YVT,0
ZA1EKZGG,0
ZL2MKRZT,0
Z305PEX6,0
50J0A055FV8G,0
ZA1438TF,1
ZLW0C770,0
ZJV0WGCH,1
7040A0C0F97G,0
ZL2MLSL9,0
188DT94KT,1
ZHZ65BHK,1
ZCH085S5,0
40X0A148F97G,0
ZLW17SM7,1
ZJV0074G,0
11J0A0QKF97G,0
ZLW18E5W,0
D5G1AGSL,0
ZCH07HE3,0
8CGDGKWH,0
ZL2CXE5S,1
ZLW0GJYR,0
ZHZ45633,1
ZLW18SEZ,0
2CKBEZUJ,0
5080A0EVF97G,0
ZCH06TFV,0
ZL2C6TJT,0
ZA180YNP,0
3070A0D1F97G,0
ZL2MLE3W,0
AAHEJEMH,0
ZA12QFG5,0
ZJV02TFP,0
2AGM939Y,1
ZA13YP6Q,0
ZLW0GHX4,0
ZHZ1V8G9,1
ZA11ATWS,0
ZA1ETXLD,0
ZCH0G7P9,1
61A0A0NWF97G,0
2CJWRYXN,0
2BJ4U6XD,0
AAHKBBAH,0
PL2331LAHDASYJ,0
QBH52KRT,0
Z305FFQB,0
22G0A1G3FV8G,0
51T0A2YAFVGG,0
2BJ3E3SN,0
ZL2NFXX3,0
8HHA7YLH,0
5090A0BEF97G,0
S300XCQD,0
X0GG3KVC,0
Z3054BNK,0
AAHM4XEH,0
PL2331LAHAJWPJ,0
S2ZYJ9DFA03935,1
7TA006B0,0
Z302B1B8,1
ZJV0WFT8,0
8HKJPXMH,0
ZL22YS9X,0
12E0A02JF97G,0
Z305GWPY,0
8DKD1N3H,0
ZL2L8BDC,0
Z304KBZT,1
ZHZ668WA,1
ZJV2FQ30,0
ZL0051VP,0
Z305D5RS,1
ZLW0CNAN,0
ZA170V4X,0
AAHEKYLH,0
ZCH0CC6K,0
ZLW15T4J,0
X0GEA2JC,0
7090A0CCF97G,0
Z304XVG2,0
AAG64ANH,0
ZCH09E9S,0
11J0A0DYF97G,0
9LG60PYA,0
3GKXLEME,0
PL2331LAHDB5EJ,0
D5G1EEDL,1
ZL2MLE03,0
ZCH09B79,1
ZCH0ADQA,0
ZA13R448,0
ZLW18TYT,1
ZL004FFQ,0
ZCH07ZSF,0
3070A136F97G,0
11F0A03DF97G,0
6130A06LF97G,0
PL1331LAG9A36H,1
61A0A0KUF97G,0
X0GEMBHC,0
PL2331LAGSTMZJ,0
ZJV121PY,0
ZL2B6SXF,0
Z304KCG2,0
ZCH084DT,0
PL1331LAHD5E9H,0
ZCH070Y6,0
ZHZ0NB3L,0
ZCH0D1F4,1
X1G97U7L,0
ZA123D48,1
PL2331LAHDKA1J,0
11K0A030F97G,0
ZJV5FNHX,0
ZJV3C770,1
ZA12NDQV,0
ZL00528S,0
ZA217E7Z,0
ZJV4V5CV,0
ZA18BTR2,0
ZHZ4VAJE,0
ZA13R1EJ,0
Z304KCY4,0
ZA172JWW,0
70L0A00HF97G,0
ZL0052ZX,0
ZCH09ETR,0
20W0A12XF97G,0
ZL2L8BDD,0
ZCH06VWV,0
40P0A0Y2F97G,1
ZL2MD3WH,0
AAG6TVPH,0
7190A3ZEFVGG,0
ZL23XS2J,1
ZLW18Q5H,0
PL1331LAGBYUKH,1
ZA180YKD,0
5070A0B9F97G,0
22G0A0T7FV8G,0
PL1331LAHD678H,0
ZCH0BCQW,0
ZA18BV20,0
8190A0LHFVKG,0
ZHZ3RC80,1
ZJV0YLF8,0
8CGJY1BH,0
PL2331LAH45UVJ,0
ZJV00BLE,0
ZCH06ELY,0
3080A03DF97G,0
ZHZ2LN2E,0
ZJV040AG,0
61A0A114F97G,0
ZHZ5SVVM,0
ZCH0CJZH,0
20H0A1M0F97G,0
PL1331LAHDY8ZH,0
5PHN80DD,0
5PHJZV1F,0
ZJV0WBVM,0
1180A01TF97G,0
ZL230LTV,0
ZLW02E8K,0
ZL23XB5C,0
Z4D0A3EZ,0
51R0A30VFVGG,0
2BJ1UHEN,0
ZJV1F8WZ,0
ZJV00NSZ,0
ZL2LGES3,0
ZHZ3NSAV,0
ZL005E5V,0
ZLW0C77E,0
ZA14EX4B,0
8170A00FF97G,0
ZHZ50LZW,0
X1G9VDXL,0
ZJV03Z37,0
8HJJ0WKH,0
2BJ2451N,0
QGK6NYGT,0
ZA12PTQR,0
2AGMZKKY,0
5PHKVXJD,0
9LG356TA,0
88Q0A0KRF97G,1
70J0A06WF97G,0
ZCH0BZXE,0
ZJV03X2C,0
ZA12J6JZ,1
ZL22HYXC,0
ZA125DST,0
ZL2D9E7H,0
ZL2CSE2C,0
ZA1818G3,0
ZJV2ENDD,0
5120A0BMF97G,0
fe78b975bfab0010,0
PL2331LAH3JYTJ,0
ZL2MLS1P,0
8HK20D9H,0
S301GQL4,0
ZA13G9PY,0
2CKPWS4J,0
6130A09SF97G,0
4140A0SYFV8G,0
ZL2LMZZF,0
ZLW18MHF,0
Z950A001F97G,0
ZL2K9VZ0,0
ZL2MLSC5,0
PL2331LAHDLWZJ,0
AAHLZARH,0
ZCH0CYZX,0
8DJ11RTH,0
99Q0A095F9RG,0
5PHP6EPF,0
4140A0RKFV8G,0
70E0A11FF97G,0
ZA142S5Z,1
3080A00GF97G,0
S301PRC9,0
ZJV04F3T,1
ZL23XRT7,0
ZTN0AGAB,0
88P0A0C6F97G,0
8160A234FVKG,0
3070A15TF97G,0
Z302SZJJ,1
ZL2L8W7J,0
ZL2CYJFS,0
