index,label
0,19
1,23
2,10
3,31
4,26
5,12
6,24
7,9
8,24
9,8
10,19
11,5
12,12
13,46
14,28
15,4
16,9
17,10
18,18
19,13
20,27
21,6
22,24
23,17
24,28
25,9
26,25
27,17
28,35
29,1
30,29
31,34
32,14
33,48
34,30
35,17
36,0
37,20
38,21
39,18
40,5
41,47
42,20
43,12
44,8
45,38
46,42
47,17
48,24
49,26
50,18
51,7
52,8
53,26
54,47
55,21
56,46
57,6
58,12
59,47
60,28
61,2
62,27
63,27
64,28
65,24
66,28
67,5
68,18
69,13
70,9
71,23
72,6
73,9
74,19
75,22
76,30
77,48
78,5
79,4
80,43
81,26
82,7
83,39
84,25
85,30
86,47
87,32
88,17
89,11
90,20
91,27
92,12
93,7
94,15
95,1
96,6
97,46
98,24
99,34
100,37
101,21
102,10
103,22
104,6
105,33
106,26
107,15
108,13
109,21
110,4
111,14
112,21
113,46
114,12
115,0
116,2
117,1
118,32
119,10
120,29
121,9
122,43
123,24
124,18
125,38
126,13
127,22
128,39
129,0
130,41
131,41
132,27
133,37
134,24
135,39
136,40
137,37
138,27
139,32
140,17
141,43
142,33
143,35
144,19
145,42
146,23
147,4
148,47
149,34
150,43
151,6
152,8
153,10
154,17
155,1
156,30
157,21
158,46
159,27
160,18
161,19
162,48
163,21
164,2
165,30
166,2
167,15
168,10
169,27
170,22
171,24
172,19
173,18
174,15
175,29
176,41
177,47
178,16
179,6
180,15
181,5
182,35
183,46
184,7
185,39
186,7
187,24
188,38
189,24
190,17
191,37
192,11
193,15
194,6
195,48
196,2
197,38
198,41
199,4
200,14
201,0
202,2
203,35
204,1
205,34
206,30
207,41
208,2
209,37
210,37
211,18
212,21
213,46
214,30
215,1
216,2
217,43
218,21
219,2
220,34
221,24
222,30
223,47
224,39
225,26
226,1
227,34
228,21
229,46
230,9
231,1
232,9
233,1
234,32
235,28
236,39
237,35
238,35
239,2
240,11
241,29
242,1
243,9
244,47
245,5
246,22
247,19
248,27
249,1
250,9
251,0
252,15
253,7
254,4
255,5
256,1
257,4
258,11
259,29
260,4
261,37
262,29
263,25
264,32
265,21
266,25
267,46
268,34
269,5
270,30
271,35
272,47
273,36
274,28
275,5
276,2
277,5
278,10
279,5
280,39
281,9
282,41
283,32
284,28
285,20
286,7
287,31
288,13
289,47
290,11
291,8
292,10
293,27
294,48
295,35
296,30
297,40
298,40
299,40
300,25
301,8
302,40
303,2
304,13
305,9
306,33
307,8
308,1
309,39
310,32
311,17
312,18
313,19
314,1
315,1
316,48
317,25
318,31
319,5
320,15
321,0
322,17
323,41
324,42
325,1
326,2
327,47
328,22
329,35
330,14
331,0
332,9
333,15
334,24
335,39
336,25
337,42
338,17
339,15
340,33
341,39
342,25
343,8
344,7
345,43
346,38
347,26
348,19
349,41
350,46
351,46
352,5
353,31
354,17
355,12
356,34
357,11
358,48
359,17
360,4
361,10
362,8
363,30
364,46
365,11
366,4
367,41
368,17
369,17
370,23
371,21
372,0
373,18
374,30
375,33
376,0
377,1
378,6
379,28
380,21
381,35
382,11
383,28
384,6
385,48
386,19
387,21
388,47
389,5
390,43
391,39
392,20
393,2
394,46
395,34
396,38
397,11
398,24
399,7
400,17
401,2
402,40
403,15
404,4
405,14
406,42
407,43
408,26
409,7
410,28
411,7
412,40
413,5
414,11
415,6
416,4
417,25
418,17
419,28
420,25
421,13
422,3
423,15
424,34
425,11
426,17
427,14
428,10
429,12
430,47
431,30
432,13
433,15
434,37
435,38
436,17
437,8
438,24
439,24
440,13
441,2
442,28
443,43
444,15
445,38
446,37
447,31
448,30
449,24
450,6
451,29
452,48
453,5
454,11
455,33
456,17
457,5
458,2
459,27
460,38
461,38
462,0
463,28
464,15
465,1
466,30
467,7
468,10
469,10
470,26
471,8
472,0
473,13
474,37
475,2
476,11
477,1
478,5
479,20
480,5
481,18
482,10
483,9
484,37
485,17
486,20
487,20
488,20
489,5
490,5
491,47
492,10
493,37
494,14
495,40
496,25
497,5
498,47
499,34
500,15
501,19
502,25
503,47
504,30
505,7
506,22
507,12
508,48
509,23
510,2
511,37
512,33
513,35
514,16
515,10
516,46
517,18
518,41
519,0
520,30
521,12
522,27
523,48
524,26
525,20
526,19
527,27
528,38
529,14
530,2
531,29
532,39
533,38
534,19
535,39
536,12
537,10
538,20
539,40
540,17
541,12
542,19
543,37
544,26
545,38
546,5
547,31
548,48
549,14
550,40
551,10
552,13
553,25
554,42
555,21
556,33
557,38
558,13
559,18
560,46
561,1
562,26
563,12
564,11
565,17
566,13
567,16
568,30
569,27
570,34
571,21
572,36
573,6
574,25
575,2
576,32
577,18
578,7
579,17
580,46
581,47
582,25
583,47
584,9
585,27
586,2
587,35
588,21
589,0
590,46
591,21
592,5
593,41
594,17
595,4
596,22
597,1
598,37
599,12
600,14
601,26
602,26
603,24
604,8
605,33
606,40
607,46
608,37
609,2
610,1
611,41
612,34
613,20
614,40
615,10
616,43
617,35
618,29
619,20
620,24
621,30
622,41
623,0
624,8
625,38
626,18
627,2
628,2
629,41
630,38
631,31
632,18
633,12
634,47
635,6
636,34
637,19
638,18
639,1
640,27
641,7
642,18
643,17
644,39
645,47
646,20
647,15
648,7
649,37
650,30
651,20
652,39
653,39
654,21
655,20
656,6
657,31
658,35
659,24
660,41
661,15
662,18
663,5
664,6
665,4
666,35
667,0
668,24
669,43
670,26
671,29
672,41
673,13
674,26
675,42
676,34
677,26
678,24
679,13
680,6
681,7
682,11
683,11
684,39
685,9
686,9
687,41
688,12
689,46
690,20
691,21
692,7
693,5
694,39
695,46
696,22
697,28
698,15
699,6
700,22
701,4
702,2
703,32
704,35
705,35
706,38
707,0
708,17
709,24
710,2
711,46
712,25
713,7
714,28
715,41
716,38
717,37
718,29
719,4
720,34
721,40
722,13
723,9
724,12
725,48
726,30
727,17
728,28
729,17
730,33
731,18
732,0
733,47
734,10
735,25
736,20
737,7
738,23
739,37
740,24
741,9
742,47
743,25
744,17
745,12
746,30
747,25
748,0
749,39
750,21
751,27
752,12
753,18
754,21
755,1
756,5
757,4
758,46
759,24
760,17
761,4
762,25
763,38
764,47
765,28
766,2
767,12
768,11
769,12
770,27
771,41
772,40
773,37
774,34
775,39
776,19
777,40
778,40
779,10
780,38
781,22
782,39
783,17
784,12
785,21
786,21
787,12
788,25
789,13
790,36
791,30
792,20
793,7
794,37
795,39
796,18
797,6
798,20
799,15
800,0
801,14
802,42
803,34
804,20
805,8
806,33
807,20
808,41
809,22
810,40
811,35
812,40
813,10
814,19
815,7
816,0
817,30
818,17
819,11
820,10
821,21
822,4
823,26
824,9
825,9
826,13
827,8
828,10
829,1
830,7
831,20
832,11
833,26
834,8
835,37
836,24
837,38
838,46
839,41
840,4
841,47
842,5
843,9
844,2
845,26
846,1
847,22
848,6
849,46
850,27
851,41
852,36
853,13
854,46
855,40
856,39
857,29
858,5
859,26
860,10
861,17
862,39
863,21
864,17
865,26
866,25
867,2
868,11
869,27
870,28
871,27
872,41
873,40
874,35
875,25
876,1
877,17
878,5
879,16
880,5
881,13
882,8
883,19
884,32
885,19
886,19
887,5
888,47
889,43
890,34
891,38
892,33
893,41
894,17
895,4
896,9
897,38
898,25
899,48
900,24
901,26
902,28
903,40
904,41
905,25
906,27
907,4
908,39
909,19
910,15
911,21
912,42
913,19
914,24
915,41
916,12
917,38
918,48
919,13
920,32
921,9
922,10
923,0
924,5
925,10
926,13
927,20
928,9
929,18
930,38
931,5
932,9
933,7
934,5
935,31
936,5
937,13
938,28
939,28
940,10
941,15
942,18
943,15
944,1
945,34
946,32
947,0
948,22
949,34
950,41
951,24
952,1
953,28
954,6
955,46
956,39
957,47
958,5
959,18
960,4
961,3
962,5
963,38
964,39
965,48
966,43
967,29
968,6
969,27
970,12
971,4
972,16
973,38
974,14
975,7
976,48
977,25
978,38
979,26
980,31
981,15
982,26
983,48
984,42
985,12
986,23
987,2
988,7
989,7
990,2
991,35
992,24
993,6
994,22
995,28
996,39
997,7
998,39
999,25
1000,46
1001,40
1002,0
1003,14
1004,31
1005,37
1006,0
1007,46
1008,34
1009,7
1010,6
1011,41
1012,11
1013,35
1014,2
1015,18
1016,21
1017,2
1018,41
1019,38
1020,29
1021,27
1022,47
1023,35
1024,2
1025,9
1026,7
1027,32
1028,37
1029,34
1030,16
1031,19
1032,29
1033,35
1034,9
1035,18
1036,25
1037,39
1038,5
1039,37
1040,38
1041,1
1042,9
1043,13
1044,4
1045,17
1046,3
1047,27
1048,46
1049,26
1050,27
1051,43
1052,30
1053,35
1054,2
1055,36
1056,20
1057,42
1058,37
1059,6
1060,0
1061,35
1062,4
1063,34
1064,32
1065,21
1066,30
1067,34
1068,7
1069,8
1070,39
1071,8
1072,13
1073,30
1074,28
1075,46
1076,0
1077,19
1078,37
1079,46
1080,41
1081,4
1082,11
1083,16
1084,32
1085,15
1086,10
1087,5
1088,22
1089,39
1090,31
1091,10
1092,17
1093,30
1094,21
1095,21
1096,8
1097,17
1098,6
1099,9
1100,33
1101,10
1102,17
1103,35
1104,35
1105,27
1106,46
1107,0
1108,15
1109,1
1110,15
1111,47
1112,9
1113,26
1114,3
1115,31
1116,17
1117,7
1118,37
1119,30
1120,15
1121,16
1122,7
1123,14
1124,4
1125,19
1126,25
1127,41
1128,1
1129,40
1130,46
1131,37
1132,38
1133,34
1134,10
1135,39
1136,28
1137,15
1138,31
1139,26
1140,0
1141,48
1142,19
1143,35
1144,48
1145,0
1146,32
1147,8
1148,10
1149,21
1150,15
1151,1
1152,43
1153,46
1154,47
1155,21
1156,35
1157,34
1158,17
1159,34
1160,38
1161,28
1162,38
1163,30
1164,15
1165,6
1166,33
1167,4
1168,44
1169,2
1170,25
1171,2
1172,13
1173,16
1174,10
1175,15
1176,41
1177,41
1178,20
1179,6
1180,0
1181,11
1182,41
1183,5
1184,35
1185,5
1186,19
1187,27
1188,29
1189,7
1190,32
1191,2
1192,37
1193,5
1194,2
1195,10
1196,35
1197,26
1198,24
1199,41
1200,10
1201,5
1202,21
1203,26
