index,label
0,19
1,10
2,18
3,10
4,35
5,5
6,14
7,48
8,48
9,44
10,16
11,16
12,44
13,27
14,14
15,36
16,44
17,34
18,43
19,11
20,31
21,19
22,37
23,26
24,19
25,2
26,32
27,29
28,5
29,18
30,32
31,3
32,12
33,30
34,30
35,45
36,21
37,31
38,25
39,2
40,11
41,29
42,40
43,44
44,4
45,33
46,12
47,38
48,38
49,14
50,26
51,38
52,4
53,26
54,32
55,15
56,16
57,26
58,38
59,19
60,48
61,17
62,40
63,2
64,41
65,21
66,40
67,23
68,19
69,38
70,25
71,15
72,44
73,29
74,4
75,40
76,37
77,44
78,27
79,26
80,11
81,25
82,29
83,23
84,15
85,14
86,28
87,27
88,11
89,30
90,41
91,40
92,10
93,2
94,48
95,22
96,34
97,35
98,33
99,23
100,44
101,9
102,11
103,44
104,43
105,9
106,43
107,17
108,27
109,44
110,33
111,26
112,26
113,45
114,16
115,7
116,27
117,44
118,33
119,33
120,9
121,41
122,6
123,6
124,21
125,29
126,19
127,41
128,40
129,29
130,33
131,18
132,1
133,20
134,21
135,39
136,46
137,21
138,21
139,32
140,31
141,25
142,21
143,14
144,36
145,19
146,0
147,21
148,31
149,15
150,9
151,21
152,40
153,27
154,22
155,39
156,12
157,3
158,23
159,12
160,39
161,19
162,29
163,7
164,2
165,20
166,9
167,36
168,41
169,41
170,32
171,13
172,3
173,3
174,48
175,12
176,46
177,32
178,8
179,23
180,8
181,23
182,42
183,9
184,38
185,13
186,44
187,8
188,14
189,5
190,32
191,48
192,0
193,15
194,43
195,25
196,31
197,7
198,20
199,25
200,44
201,7
202,28
203,31
204,29
205,17
206,35
207,0
208,13
209,36
210,7
211,31
212,9
213,11
214,45
215,23
216,14
217,37
218,45
219,38
220,0
221,29
222,19
223,10
224,42
225,29
226,20
227,15
228,21
229,42
230,21
231,42
232,1
233,45
234,26
235,38
236,40
237,12
238,45
239,24
240,23
241,29
242,7
243,12
244,24
245,33
246,5
247,41
248,37
249,16
250,41
251,2
252,6
253,47
254,34
255,43
256,15
257,42
258,35
259,16
260,39
261,15
262,26
263,47
264,14
265,41
266,4
267,31
268,37
269,17
270,22
271,44
272,12
273,21
274,44
275,20
276,15
277,8
278,35
279,34
280,14
281,23
282,47
283,7
284,32
285,24
286,34
287,31
288,35
289,22
290,22
291,36
292,33
293,37
294,17
295,3
296,32
297,2
298,16
299,11
300,47
301,3
302,9
303,24
304,18
305,1
306,13
307,13
308,22
309,44
310,25
311,25
312,36
313,11
314,33
315,47
316,6
317,16
318,11
319,8
320,15
321,33
322,47
323,40
324,25
325,31
326,46
327,19
328,33
329,4
330,48
331,13
332,5
333,25
334,2
335,40
336,32
337,45
338,11
339,16
340,43
341,5
342,40
343,46
344,37
345,7
346,4
347,26
348,37
349,15
350,23
351,25
352,27
353,22
354,27
355,36
356,7
357,39
358,45
359,40
360,43
361,13
362,8
363,37
364,1
365,8
366,26
367,10
368,13
369,16
370,19
371,16
372,16
373,0
374,32
375,31
376,3
377,37
378,21
379,43
380,34
381,14
382,7
383,15
384,22
385,37
386,12
387,0
388,37
389,34
390,22
391,8
392,19
393,16
394,43
395,22
396,11
397,44
398,44
399,2
400,26
401,34
402,2
403,21
404,19
405,11
406,44
407,30
408,39
409,32
410,25
411,36
412,37
413,8
414,47
415,46
416,20
417,21
418,3
419,28
420,30
421,0
422,36
423,40
424,14
425,40
426,25
427,33
428,16
429,11
430,42
431,43
432,7
433,1
434,19
435,26
436,9
437,22
438,32
439,41
440,29
441,32
442,22
443,42
444,21
445,42
446,40
447,16
448,5
449,19
450,47
451,47
452,47
453,15
454,42
455,1
456,0
457,30
458,40
459,37
460,42
461,20
462,24
463,18
464,28
465,19
466,33
467,26
468,20
469,5
470,26
471,31
472,26
473,40
474,30
475,13
476,16
477,18
478,40
479,0
480,22
481,38
482,40
483,36
484,25
485,40
486,20
487,0
488,5
489,30
490,29
491,10
492,36
493,25
494,36
495,1
496,35
497,23
498,37
499,16
500,37
501,39
502,45
503,40
504,29
505,47
506,26
507,13
508,18
509,42
510,39
511,35
512,45
513,13
514,38
515,8
516,5
517,30
518,31
519,33
520,25
521,41
522,39
523,26
524,28
525,2
526,37
527,33
528,5
529,22
530,37
531,37
532,3
533,47
534,35
535,7
536,48
537,7
538,45
539,39
540,25
541,36
542,36
543,8
544,0
545,29
546,15
547,0
548,27
549,47
550,19
551,12
552,44
553,21
554,8
555,6
556,11
557,11
558,36
559,38
560,15
561,2
562,10
563,40
564,15
565,39
566,44
567,8
568,4
569,16
570,10
571,3
572,22
573,5
574,17
575,11
576,15
577,44
578,28
579,35
580,40
581,1
582,1
583,15
584,30
585,14
586,37
587,39
588,1
589,14
590,46
591,45
592,18
593,47
594,17
595,15
596,29
597,12
598,3
599,22
600,7
601,32
602,32
603,19
604,9
605,39
606,37
607,4
608,48
609,30
610,6
611,35
612,43
613,26
614,27
615,30
616,27
617,9
618,41
619,12
620,10
621,7
622,35
623,32
624,16
625,34
626,31
627,23
628,26
629,31
630,31
631,26
632,41
633,38
634,5
635,5
636,28
637,33
638,2
639,47
640,3
641,6
642,39
643,0
644,24
645,36
646,34
647,14
648,12
649,38
650,10
651,48
652,1
653,25
654,15
655,43
656,35
657,0
658,14
659,30
660,41
661,9
662,20
663,19
664,11
665,33
666,3
667,34
668,10
669,4
670,36
671,0
672,23
673,13
674,39
675,26
676,29
677,43
678,29
679,20
680,17
681,47
682,18
683,20
684,13
685,19
686,33
687,21
688,46
689,12
690,6
691,42
692,3
693,11
694,33
695,41
696,10
697,2
698,43
699,24
700,24
701,44
702,45
703,21
704,36
705,27
706,14
707,39
708,16
709,29
710,44
711,11
712,25
713,31
714,18
715,19
716,24
717,44
718,6
719,30
720,47
721,36
722,4
723,38
724,22
725,10
726,26
727,4
728,42
729,40
730,7
731,17
732,42
733,32
734,4
735,9
736,48
737,40
738,25
739,37
740,12
741,12
742,47
743,4
744,31
745,12
746,2
747,26
748,19
749,6
750,34
751,10
752,18
753,46
754,7
755,41
756,5
757,33
758,22
759,1
760,30
761,40
762,21
763,11
764,44
765,47
766,38
767,19
768,5
769,19
770,29
771,14
772,26
773,5
774,4
775,0
776,3
777,48
778,5
779,26
780,26
781,23
782,3
783,17
784,2
785,48
786,28
787,39
788,10
789,2
790,28
791,45
792,16
793,17
794,44
795,2
796,43
797,35
798,6
799,46
800,7
801,47
802,33
803,45
804,10
805,20
806,40
807,6
808,20
809,19
810,19
811,22
812,44
813,20
814,27
815,33
816,46
817,24
818,4
819,23
820,16
821,39
822,1
823,16
824,14
825,4
826,4
827,25
828,6
829,48
830,4
831,4
832,33
833,12
834,41
835,39
836,33
837,45
838,1
839,43
840,8
841,25
842,30
843,26
844,27
845,18
846,1
847,43
848,31
849,26
850,2
851,3
852,39
853,11
854,43
855,1
856,14
857,14
858,47
859,2
860,7
861,44
862,0
863,2
864,9
865,33
866,25
867,47
868,42
869,25
870,46
871,24
872,24
873,40
874,47
875,25
876,19
877,39
878,14
879,48
880,18
881,37
882,26
883,8
884,16
885,10
886,14
887,25
888,11
889,21
890,6
891,22
892,3
893,25
894,19
895,45
896,25
897,14
898,29
899,42
900,15
901,36
902,45
903,9
904,38
905,23
906,5
907,34
908,48
909,20
910,40
911,38
912,46
913,40
914,39
915,26
916,13
917,48
918,17
919,16
920,44
921,41
922,18
923,34
924,41
925,28
926,43
927,34
928,38
929,22
930,23
931,23
932,47
933,22
934,3
935,14
936,4
937,46
938,17
939,14
940,18
941,33
942,40
943,43
944,1
945,41
946,39
947,20
948,26
