index,label
0,19
1,23
2,10
3,47
4,26
5,12
6,46
7,9
8,24
9,8
10,19
11,5
12,12
13,46
14,28
15,4
16,9
17,21
18,18
19,13
20,27
21,6
22,24
23,17
24,28
25,9
26,25
27,17
28,20
29,1
30,29
31,34
32,14
33,48
34,30
35,17
36,0
37,20
38,21
39,18
40,17
41,47
42,20
43,26
44,46
45,38
46,33
47,17
48,24
49,26
50,30
51,7
52,25
53,26
54,47
55,21
56,41
57,6
58,12
59,47
60,28
61,2
62,27
63,27
64,28
65,26
66,20
67,39
68,18
69,13
70,9
71,23
72,6
73,9
74,19
75,22
76,30
77,48
78,5
79,4
80,38
81,26
82,9
83,39
84,25
85,34
86,47
87,26
88,17
89,11
90,20
91,27
92,12
93,7
94,15
95,1
96,6
97,46
98,24
99,34
100,37
101,21
102,10
103,22
104,6
105,33
106,26
107,15
108,8
109,21
110,4
111,14
112,21
113,46
114,12
115,0
116,2
117,1
118,20
119,0
120,40
121,9
122,43
123,24
124,18
125,38
126,13
127,25
128,39
129,0
130,41
131,41
132,22
133,37
134,24
135,34
136,40
137,37
138,27
139,32
140,17
141,43
142,33
143,46
144,30
145,42
146,23
147,4
148,47
149,34
150,43
151,6
152,30
153,30
154,17
155,1
156,30
157,21
158,46
159,20
160,18
161,19
162,48
163,21
164,2
165,30
166,2
167,15
168,10
169,27
170,22
171,39
172,19
173,18
174,15
175,29
176,41
177,47
178,2
179,6
180,15
181,5
182,46
183,46
184,7
185,39
186,7
187,1
188,38
189,24
190,17
191,37
192,11
193,15
194,38
195,7
196,2
197,38
198,41
199,4
200,14
201,0
202,2
203,35
204,1
205,18
206,30
207,41
208,2
209,37
210,37
211,18
212,21
213,46
214,30
215,1
216,2
217,43
218,21
219,2
220,11
221,24
222,30
223,47
224,39
225,26
226,1
227,34
228,21
229,46
230,9
231,39
232,9
233,1
234,32
235,28
236,39
237,35
238,40
239,2
240,11
241,29
242,1
243,12
244,47
245,5
246,22
247,14
248,27
249,1
250,9
251,0
252,15
253,7
254,4
255,5
256,1
257,4
258,11
259,20
260,4
261,37
262,29
263,25
264,32
265,27
266,25
267,46
268,34
269,5
270,30
271,40
272,47
273,30
274,28
275,9
276,2
277,5
278,10
279,5
280,39
281,18
282,41
283,32
284,7
285,20
286,7
287,31
288,13
289,24
290,11
291,30
292,10
293,27
294,38
295,35
296,30
297,25
298,30
299,40
300,17
301,19
302,40
303,2
304,13
305,0
306,33
307,46
308,1
309,39
310,32
311,17
312,18
313,19
314,1
315,1
316,48
317,40
318,31
319,5
320,15
321,0
322,8
323,41
324,42
325,1
326,2
327,47
328,22
329,35
330,2
331,0
332,19
333,15
334,17
335,39
336,25
337,42
338,17
339,15
340,41
341,8
342,17
343,24
344,7
345,39
346,38
347,26
348,19
349,40
350,46
351,46
352,5
353,27
354,17
355,12
356,34
357,11
358,48
359,17
360,4
361,10
362,34
363,30
364,46
365,19
366,4
367,41
368,17
369,17
370,23
371,11
372,0
373,7
374,34
375,33
376,24
377,1
378,6
379,28
380,21
381,35
382,11
383,28
384,6
385,21
386,18
387,21
388,47
389,2
390,43
391,8
392,20
393,2
394,6
395,34
396,38
397,11
398,39
399,7
400,17
401,34
402,40
403,14
404,4
405,14
406,5
407,43
408,26
409,7
410,28
411,7
412,6
413,5
414,11
415,6
416,4
417,30
418,8
419,28
420,25
421,46
422,18
423,15
424,34
425,11
426,17
427,14
428,10
429,12
430,47
431,30
432,13
433,21
434,11
435,38
436,17
437,46
438,24
439,24
440,13
441,2
442,28
443,43
444,15
445,2
446,37
447,31
448,30
449,24
450,6
451,34
452,48
453,5
454,11
455,14
456,17
457,5
458,2
459,27
460,38
461,38
462,0
463,28
464,15
465,1
466,40
467,7
468,10
469,9
470,26
471,46
472,0
473,13
474,37
475,2
476,11
477,1
478,5
479,20
480,2
481,18
482,37
483,38
484,37
485,12
486,20
487,40
488,20
489,5
490,19
491,47
492,10
493,37
494,5
495,30
496,25
497,0
498,47
499,39
500,15
501,19
502,25
503,47
504,30
505,7
506,22
507,12
508,48
509,23
510,2
511,37
512,5
513,21
514,16
515,10
516,46
517,18
518,41
519,0
520,30
521,23
522,27
523,7
524,26
525,20
526,19
527,27
528,38
529,2
530,2
531,29
532,39
533,38
534,19
535,39
536,12
537,5
538,20
539,30
540,17
541,26
542,19
543,37
544,26
545,38
546,5
547,31
548,48
549,2
550,20
551,10
552,13
553,12
554,23
555,21
556,33
557,38
558,5
559,34
560,46
561,1
562,26
563,12
564,11
565,17
566,13
567,2
568,12
569,27
570,34
571,21
572,30
573,6
574,25
575,2
576,32
577,18
578,7
579,17
580,46
581,47
582,25
583,47
584,9
585,27
586,2
587,35
588,21
589,0
590,46
591,21
592,5
593,41
594,17
595,4
596,22
597,1
598,37
599,12
600,14
601,26
602,26
603,24
604,8
605,33
606,23
607,46
608,37
609,2
610,1
611,41
612,34
613,20
614,40
615,21
616,43
617,35
618,30
619,20
620,24
621,30
622,41
623,0
624,8
625,38
626,18
627,2
628,2
629,40
630,38
631,31
632,18
633,12
634,47
635,6
636,34
637,19
638,18
639,7
640,27
641,7
642,18
643,17
644,39
645,47
646,20
647,15
648,7
649,37
650,30
651,20
652,39
653,39
654,21
655,20
656,38
657,42
658,35
659,24
660,17
661,15
662,18
663,5
664,10
665,4
666,35
667,0
668,5
669,34
670,26
671,20
672,41
673,13
674,26
675,23
676,34
677,26
678,24
679,30
680,6
681,7
682,11
683,11
684,39
685,9
686,9
687,41
688,12
689,46
690,40
691,21
692,7
693,5
694,39
695,46
696,22
697,15
698,15
699,6
700,22
701,41
702,2
703,25
704,35
705,35
706,38
707,0
708,17
709,24
710,2
711,12
712,7
713,7
714,20
715,41
716,38
717,37
718,30
719,4
720,34
721,32
722,0
723,9
724,30
725,27
726,30
727,17
728,7
729,17
730,42
731,18
732,0
733,47
734,10
735,24
736,20
737,7
738,23
739,37
740,24
741,9
742,47
743,25
744,17
745,12
746,30
747,17
748,0
749,39
750,21
751,27
752,12
753,18
754,21
755,1
756,5
757,23
758,20
759,24
760,17
761,4
762,14
763,38
764,47
765,28
766,2
767,23
768,11
769,12
770,27
771,41
772,40
773,37
774,34
775,39
776,19
777,17
778,41
779,10
780,38
781,22
782,30
783,23
784,12
785,21
786,24
787,12
788,25
789,13
790,36
791,30
792,30
793,18
794,37
795,39
796,18
797,6
798,29
799,15
800,0
801,14
802,42
803,34
804,20
805,17
806,33
807,20
808,41
809,22
810,30
811,35
812,40
813,10
814,19
815,7
816,0
817,30
818,17
819,11
820,10
821,21
822,4
823,26
824,19
825,9
826,46
827,8
828,10
829,1
830,2
831,20
832,11
833,26
834,8
835,37
836,24
837,38
838,30
839,22
840,4
841,47
842,5
843,4
844,2
845,26
846,1
847,22
848,6
849,46
850,36
851,41
852,36
853,13
854,46
855,40
856,2
857,29
858,5
859,26
860,10
861,17
862,17
863,21
864,17
865,26
866,40
867,2
868,11
869,27
870,7
871,27
872,41
873,40
874,35
875,25
876,1
877,41
878,5
879,16
880,5
881,13
882,8
883,19
884,32
885,19
886,19
887,5
888,47
889,23
890,34
891,38
892,5
893,41
894,17
895,4
896,9
897,38
898,29
899,34
900,24
901,34
902,28
903,40
904,41
905,25
906,23
907,4
908,39
909,19
910,15
911,9
912,34
913,19
914,24
915,41
916,12
917,38
918,48
919,34
920,32
921,7
922,0
923,0
924,5
925,10
926,13
927,20
928,9
929,18
930,38
931,5
932,2
933,7
934,5
935,42
936,5
937,13
938,18
939,35
940,10
941,19
942,18
943,15
944,1
945,34
946,32
947,0
948,22
949,34
950,5
951,6
952,1
953,28
954,6
955,46
956,39
957,47
958,5
959,18
960,4
961,11
962,5
963,38
964,39
965,48
966,34
967,29
968,6
969,27
970,24
971,4
972,4
973,38
974,14
975,7
976,18
977,25
978,38
979,26
980,31
981,40
982,29
983,48
984,40
985,34
986,23
987,2
988,7
989,23
990,2
991,30
992,24
993,10
994,22
995,28
996,39
997,7
998,39
999,25
1000,46
1001,30
1002,0
1003,14
1004,21
1005,37
1006,0
1007,46
1008,34
1009,7
1010,6
1011,41
1012,30
1013,30
1014,2
1015,18
1016,21
1017,2
1018,41
1019,38
1020,29
1021,22
1022,47
1023,35
1024,2
1025,9
1026,7
1027,18
1028,37
1029,34
1030,16
1031,19
1032,30
1033,15
1034,0
1035,18
1036,25
1037,39
1038,5
1039,37
1040,38
1041,1
1042,0
1043,20
1044,4
1045,17
1046,3
1047,27
1048,46
1049,26
1050,27
1051,43
1052,30
1053,30
1054,2
1055,36
1056,20
1057,17
1058,37
1059,6
1060,0
1061,35
1062,4
1063,34
1064,32
1065,21
1066,12
1067,34
1068,7
1069,46
1070,39
1071,8
1072,13
1073,34
1074,28
1075,46
1076,0
1077,38
1078,37
1079,46
1080,41
1081,4
1082,11
1083,16
1084,14
1085,15
1086,10
1087,5
1088,22
1089,39
1090,47
1091,10
1092,17
1093,30
1094,21
1095,21
1096,8
1097,17
1098,6
1099,9
1100,27
1101,10
1102,12
1103,35
1104,35
1105,27
1106,46
1107,0
1108,15
1109,1
1110,15
1111,47
1112,9
1113,26
1114,48
1115,31
1116,8
1117,18
1118,37
1119,30
1120,15
1121,16
1122,7
1123,14
1124,4
1125,19
1126,25
1127,41
1128,1
1129,40
1130,46
1131,37
1132,38
1133,34
1134,10
1135,39
1136,28
1137,15
1138,7
1139,26
1140,0
1141,48
1142,19
1143,41
1144,48
1145,0
1146,32
1147,8
1148,10
1149,21
1150,30
1151,1
1152,43
1153,46
1154,47
1155,21
1156,35
1157,34
1158,17
1159,34
1160,38
1161,28
1162,38
1163,30
1164,15
1165,6
1166,33
1167,4
1168,25
1169,2
1170,25
1171,38
1172,18
1173,16
1174,0
1175,15
1176,41
1177,41
1178,20
1179,10
1180,0
1181,11
1182,41
1183,5
1184,35
1185,5
1186,19
1187,27
1188,17
1189,7
1190,8
1191,2
1192,37
1193,5
1194,2
1195,37
1196,40
1197,26
1198,25
1199,41
1200,10
1201,5
1202,21
1203,26
