index,rent
77,180000
91,57000
105,68000
107,315000
108,70000
111,192000
140,60000
150,246000
174,110000
221,76000
242,110000
282,58000
366,190000
389,89000
395,190000
397,242000
452,77000
464,180000
476,90000
507,181000
564,244000
577,59000
626,110000
629,194000
630,107500
644,190000
651,120000
660,260000
673,420000
678,74000
681,105000
686,140000
699,130000
703,196000
709,185000
719,132000
729,195000
734,300000
736,140000
749,140000
758,107500
777,136000
779,147000
780,130000
783,136000
787,192000
795,138000
808,363000
829,420000
830,420000
835,196000
838,136000
840,135000
843,140000
860,197000
869,197000
872,140000
876,200000
880,190000
887,220000
892,210000
918,196000
924,188000
934,135000
936,109000
938,109000
958,210000
961,210000
964,75000
965,107000
969,138000
977,111000
978,195000
991,140000
1003,100000
1008,190000
1009,98000
1023,107500
1043,85000
1044,118000
1045,220000
1046,136000
1050,282000
1051,196000
1058,282000
1061,385000
1063,110000
1065,190000
1077,120000
1080,165000
1081,170000
1089,120000
1122,320000
1126,180000
1127,135000
1134,130000
1145,125000
1151,77000
1153,130000
1168,90000
1169,164000
1170,192000
1182,80000
1211,150000
1348,110000
1394,50000
1424,169000
1429,200000
1494,190000
1516,169000
1530,212000
1534,172000
1539,950000
1548,200000
1550,142000
1577,169000
1611,187000
1615,136000
1622,136000
1635,172000
1647,142000
1650,136000
1651,136000
1698,74000
1701,65000
1729,47000
1769,105000
1778,97000
1779,118000
1842,68000
1863,77000
1870,38000
1872,65000
1886,42000
1890,92000
1913,109000
1946,60000
1954,78000
1983,93000
1985,69000
2066,94000
2229,48000
2332,69000
2380,89000
2487,140000
2491,164000
2587,80000
2634,75000
2700,88000
2785,103000
2794,109000
2804,101000
2809,97000
2810,58500
2812,88000
2876,88000
2899,80000
2913,70000
2983,104000
3062,84000
3171,72000
3271,230000
3286,68000
3294,63000
3307,91000
3339,68000
3340,1300000
3376,48000
3383,235000
3395,117000
3415,115000
3418,60000
3421,60000
3453,115000
3470,108000
3474,78000
3508,135000
3542,204000
3565,85000
3577,210000
3578,230000
3584,64000
3586,142000
3593,78000
3614,77000
3661,143000
3680,91000
3720,142000
3724,91000
3733,143000
3750,110000
3767,102000
3787,110000
3810,74000
3815,85000
3863,65000
3872,70000
3900,212000
3951,189000
3954,215000
3987,449000
3988,85000
4029,78000
4041,541000
4072,79000
4085,237000
4088,221000
4098,181000
4110,535000
4124,81000
4130,311000
4138,197000
4149,61000
4154,221000
4163,355000
4187,311000
4196,225000
4212,181000
4222,355000
4227,294000
4234,541000
4237,311000
4245,77000
4261,181000
4289,78000
4291,89000
4295,88000
4303,52500
4317,85000
4323,254000
4344,248000
4371,532000
4375,354000
4379,345000
4387,446000
4401,247000
4436,181000
4446,526000
4460,81000
4461,57000
4465,210000
4480,259000
4491,248000
4499,435000
4502,81000
4521,343000
4523,81000
4546,75000
4557,89000
4572,106000
4574,197000
4592,144000
4614,86000
4615,65000
4618,79000
4623,81000
4624,532000
4636,258000
4641,125000
4675,252000
4681,450000
4684,133000
4695,570000
4704,172000
4710,188000
4712,172000
4733,470000
4764,243000
4770,160000
4776,199000
4785,187000
4793,235000
4794,162000
4810,247000
4815,256000
4827,243000
4846,244000
4854,136000
4878,256000
4884,370000
4891,284000
4903,300000
4925,85000
4929,480000
5025,70000
5054,75000
5064,64000
5098,105000
5156,79000
5204,132000
5208,130000
5210,140000
5218,150000
5219,110000
5227,121000
5235,165000
5238,260000
5254,124000
5255,140000
5258,102000
5271,160000
5273,202000
5287,170000
5300,132000
