index,rent
77,190249.0759210504
91,54363.640658214164
105,59627.40859948368
107,335905.4201667165
108,66275.85273161683
111,196921.9548951815
140,69194.10532707331
150,283244.4098199949
174,115216.25772159554
221,89683.54235161732
242,115216.25772159554
282,59495.55600785363
366,196921.9548951815
389,94266.00617199774
395,196921.9548951815
397,283244.4098199949
452,85477.30095762148
464,190249.0759210504
476,115216.25772159554
507,190249.0759210504
564,283244.4098199949
577,63260.08433017765
626,115216.25772159554
629,157812.3466271874
630,82382.3971821463
644,154021.1858830024
651,83328.26161861958
660,190716.6059388585
673,332896.86329516245
678,62838.270330322965
681,83195.85463535193
686,114362.16083261023
699,109226.55177308091
703,157812.3466271874
709,146010.06014666514
719,104315.13047598283
729,180135.52235826885
734,252365.36793885913
736,116598.37808181097
749,106395.59750703191
758,83992.2647937606
777,112078.49395653188
779,114362.16083261023
780,114907.0958224968
783,121551.68103850515
787,157329.09982498307
795,114907.0958224968
808,225292.67160115304
829,346762.06638058723
830,332896.86329516245
835,157812.3466271874
838,115320.90777840534
840,115320.90777840534
843,114362.16083261023
860,163677.90479668416
869,186250.6246790025
872,114362.16083261023
876,195394.05976585156
880,206202.62346213267
887,156098.9431835607
892,208547.32546856182
918,157812.3466271874
924,127222.8566567075
934,117143.31307169754
936,96780.19647350689
938,89055.10786224947
958,208547.32546856182
961,215149.14097672226
964,50620.98100257533
965,78595.08311708909
969,114362.16083261023
977,83174.90251652648
978,178126.0104619968
991,114362.16083261023
1003,102172.12407244697
1008,154021.1858830024
1009,88132.92604888443
1023,83992.2647937606
1043,68841.92968845359
1044,85551.6214185142
1045,156098.9431835607
1046,114907.0958224968
1050,230527.94188864995
1051,157812.3466271874
1058,230527.94188864995
1061,328699.6215486355
1063,98313.21445777573
1065,182863.76062101038
1077,83328.26161861958
1080,128017.04744869033
1081,146010.06014666514
1089,83328.26161861958
1122,273584.6798942195
1126,169194.30676953343
1127,114907.0958224968
1134,117143.31307169754
1145,83221.99616010963
1151,61894.26291260143
1153,117143.31307169754
1168,74501.51296593985
1169,115594.41292601026
1170,157329.09982498307
1182,92219.46486000404
1211,216961.56795140513
1348,101888.25995079071
1394,66817.64207197822
1424,155129.5899701598
1429,207670.51603456365
1494,172684.3078135757
1516,155749.62510023237
1530,202254.9036070552
1534,155749.62510023237
1539,1281539.9135498966
1548,210282.38463004254
1550,121880.05972847728
1577,172684.3078135757
1611,172684.3078135757
1615,126107.75332165962
1622,121880.05972847728
1635,155129.5899701598
1647,121880.05972847728
1650,121880.05972847728
1651,126107.75332165962
1698,62466.10920752117
1701,73801.56820221941
1729,53784.912952544095
1769,100755.47214037208
1778,103025.43239265135
1779,133107.1307194343
1842,65816.87850772144
1863,67419.19511364374
1870,54057.84835808602
1872,61204.52792014955
1886,57407.068642334234
1890,113446.57018573767
1913,114949.50421988702
1946,65184.26299639183
1954,95117.01262422308
1983,105143.5340836482
1985,79674.34899726283
2066,87930.08761972158
2229,54039.19857614369
2332,87736.67309798482
2380,102904.9605366122
2487,157359.52213752194
2491,156089.40312157475
2587,97149.24870152793
2634,74086.71486512356
2700,98302.54783176315
2785,112628.38458859376
2794,112628.38458859376
2804,113127.16633734784
2809,112628.38458859376
2810,64746.00685098186
2812,105302.82219508005
2876,98302.54783176315
2899,109705.55360095523
2913,74166.71342598285
2983,112628.38458859376
3062,105174.08138389948
3171,81532.14013474488
3271,215273.4539345468
3286,72524.94369023042
3294,59163.2341165616
3307,83140.47090517587
3339,65184.26299639183
3340,530234.6018117951
3376,73550.70454635641
3383,215273.4539345468
3395,126017.28359925754
3415,94183.50143581616
3418,64355.695694353475
3421,65586.93361836634
3453,93231.79199501839
3470,100206.25316327157
3474,81766.64277554544
3508,135294.574662786
3542,238244.79483003184
3565,86590.61744743092
3577,232789.5667965125
3578,204751.96244208387
3584,63199.51484081675
3586,178609.432617501
3593,83221.99616010963
3614,80194.75458568381
3661,178609.432617501
3680,82731.5356378054
3720,178609.432617501
3724,100567.34578402937
3733,178609.432617501
3750,132035.94034199516
3767,102769.95954442084
3787,132678.04339333653
3810,80622.50842420278
3815,94881.4518507374
3863,65519.0625363489
3872,60228.96164114921
3900,232789.5667965125
3951,168638.24061838514
3954,232789.5667965125
3987,345254.9996370742
3988,82887.88396736963
4029,83292.86442235198
4041,445109.9638317447
4072,83491.65323850441
4085,236364.0436247745
4088,255915.62689338136
4098,145943.329933885
4110,445109.9638317447
4124,83314.7156536265
4130,306376.3502966554
