index,rent
77,186406.67312772296
91,52721.83044467539
105,71902.50323220648
107,278528.0341553401
108,80511.17912156574
111,181781.12519114697
140,82844.93886964861
150,227393.69980853304
174,130705.69462700735
221,91645.49882896757
242,127181.1835424096
282,60733.14011651326
366,188187.11562163
389,91042.84141135517
395,184343.54313970378
397,238089.06465239727
452,83464.35198417408
464,185707.7580375192
476,119816.18714347413
507,185625.4942908154
564,226063.4734968262
577,77752.49236619879
626,137403.76350005402
629,171266.07039928873
630,86454.79609631194
644,161989.71960445872
651,63207.88750081792
660,248221.81690285268
673,340609.4364115725
678,56969.04728439694
681,97028.77517166531
686,139155.91568144568
699,126837.17406039707
703,172596.29671099558
709,179487.47349432734
719,116169.45322129573
729,191077.14231004473
734,299524.2898843302
736,134691.25986170306
749,122034.20233089163
758,91627.87797100839
777,117423.82868460703
779,129387.79351107652
780,118106.9199659943
783,109596.30014594882
787,201525.19814651075
795,128344.62955480244
808,265805.3093024993
829,332017.4197864704
830,328341.51514638413
835,174755.6032973637
838,122894.01044716344
840,122729.91133032624
843,132262.86248195276
860,181230.24394485808
869,219413.80764827697
872,138483.1997345081
876,204609.90873474733
880,257108.69524270343
887,192021.26060847807
892,220442.5221961076
918,175284.84478290865
924,200925.83328994282
934,125261.44899156669
936,118957.79492653834
938,89564.11760451244
958,222189.9708811075
961,232714.78715768358
964,36451.879473198365
965,68444.30406823786
969,121320.37259300864
977,85757.78816243538
978,207141.82286264922
991,132151.01979581543
1003,124063.31374945103
1008,158924.2991402762
1009,99178.19380186635
1023,96073.85389958057
1043,87490.90125045806
1044,76431.41960547905
1045,191114.29673160048
1046,111364.23711490708
1050,318516.88534891163
1051,176328.26033104412
1058,340518.2938536708
1061,421736.1958541251
1063,142698.49330023487
1065,252429.40018771176
1077,76915.27240639034
1080,169761.34764913542
1081,168845.6630006725
1089,73763.8778799859
1122,298077.67070230236
1126,202863.29943220323
1127,122570.59909676212
1134,118255.53581945557
1145,108990.74071842001
1151,46858.52499844377
1153,122346.04554874766
1168,94929.64728557624
1169,180326.03700511414
1170,195050.14859703285
1182,74868.20438550493
1211,129008.4455312031
1348,89919.42375524832
1394,52941.95713573214
1424,189528.6519779969
1429,210675.7846111797
1494,214941.73818803972
1516,183471.53010844093
1530,310898.98757356586
1534,181082.16630561292
1539,810491.6864183963
1548,206818.2836462701
1550,127724.5487523132
1577,203609.78445357506
1611,196621.99218223657
1615,132809.85862200073
1622,126394.32244060635
1635,185219.1075729884
1647,135158.45820593904
1650,126620.73798665426
1651,134830.7961312676
1698,65275.05325627073
1701,73310.03856681107
1729,58755.66339564006
1769,104178.80568028233
1778,99362.47361197174
1779,111354.76771861174
1842,64742.708469015284
1863,70364.72020566452
1870,31501.94005059295
1872,68604.95343726416
1886,35951.046978047176
1890,89813.97152437834
1913,108153.52140227653
1946,63810.75206195126
1954,90534.5197141793
1983,104261.36515791614
1985,70779.994836292
2066,85661.13025384417
2229,61497.031850985164
2332,88508.4616942567
2380,90233.5275628735
2487,130476.9358067571
2491,153504.72746992746
2587,74385.84887499611
2634,64840.75930865885
2700,107973.84098160398
2785,129906.72896798825
2794,136622.30836597504
2804,127685.47814676916
2809,121925.37109774715
2810,57871.64473077209
2812,101953.13523912692
2876,104750.10309536345
2899,104248.24961039859
2913,91423.70369043403
2983,129971.17680744077
3062,101342.6706385632
3171,82706.95655692558
3271,186054.57202308186
3286,69360.19928276152
3294,50379.30666492226
3307,77025.91659599027
3339,54138.6548514305
3340,1029962.4678251131
3376,72717.74923011029
3383,208528.9797213543
3395,106320.65161759616
3415,103299.28186679503
3418,60239.356926124674
3421,62863.97330706268
3453,90714.44137792003
3470,118027.9001375145
3474,98951.83595520584
3508,131042.013481248
3542,205743.39995643153
3565,94938.97061477347
3577,211069.9254595481
3578,251298.55654190978
