index,rent
77,179833.5064364855
91,64688.763439741306
105,68486.41327472628
107,281382.66302398354
108,80221.15126482982
111,172504.04225496453
140,94462.33814602345
150,221493.7251262706
174,154731.04102723487
221,119374.92106352483
242,154731.04102723487
282,69967.49671037041
366,172504.04225496453
389,101943.70832094383
395,172504.04225496453
397,221493.7251262706
452,94272.45565427419
464,179833.5064364855
476,145426.7989315217
507,179833.5064364855
564,221493.7251262706
577,77980.53786218869
626,154731.04102723487
629,167657.43070300843
630,75231.75033820388
644,165429.49246192843
651,69763.17465555292
660,314431.3014941589
673,355141.80935389386
678,65509.838013491055
681,76379.47609876026
686,121343.32060055708
699,139639.41948942633
703,167657.43070300843
709,158678.16445865564
719,94405.52186749861
729,228959.48897272538
734,385050.1924083923
736,121343.32060055708
749,121343.32060055708
758,81983.07834147668
777,109596.00987486242
779,121343.32060055708
780,108178.2309941751
783,106625.42555342236
787,213566.4611252634
795,108178.2309941751
808,351091.01255193027
829,356357.04839448293
830,356357.04839448293
835,165429.49246192843
838,105815.26619302965
840,105815.26619302965
843,121343.32060055708
860,214714.1868858198
869,208840.53152297248
872,121343.32060055708
876,232672.7193745254
880,274868.5193949804
887,212283.7088046416
892,262581.10242902394
918,172720.92670546303
924,152196.88957551375
934,108178.2309941751
936,113984.37307698972
938,79350.06042020029
958,262581.10242902394
961,262581.10242902394
964,42555.322802363575
965,72261.16601676386
969,121343.32060055708
977,83603.39706226214
978,228959.48897272538
991,121343.32060055708
1003,125596.65724261894
1008,165429.49246192843
1009,116819.9308383643
1023,81983.07834147668
1043,88194.30010448766
1044,78539.90105980754
1045,212283.7088046416
1046,108178.2309941751
1050,293232.13156388234
1051,167657.43070300843
1058,293232.13156388234
1061,424950.54090773454
1063,170830.55486454663
1065,322060.3021378572
1077,69763.17465555292
1080,167252.35102281204
1081,158678.16445865564
1089,69763.17465555292
1122,321385.1693375299
1126,223018.32032984527
1127,108178.2309941751
1134,108178.2309941751
1145,123301.20572150618
1151,23381.55127306885
1153,108178.2309941751
1168,110068.6028350915
1169,137411.4812483463
1170,213566.4611252634
1182,92384.76046768711
1211,142381.32100345034
1348,90558.89252116086
