index,rent
77,190685.75
91,56847.707
105,55193.594
107,388743.9
108,71363.15
111,180354.44
140,71790.836
150,243333.55
174,118620.59
221,81558.68
242,127682.32
282,58220.754
366,180354.44
389,84375.68
395,183342.02
397,264684.53
452,81520.766
464,208887.42
476,111906.414
507,188497.12
564,243333.55
577,66696.66
626,118620.59
629,151972.08
630,82439.01
644,150665.97
651,66847.06
660,191785.53
673,274266.28
678,56915.645
681,84679.13
686,108261.48
699,113042.64
703,151972.08
709,125244.38
719,104906.61
729,182029.14
734,156670.45
736,110110.21
749,112329.65
758,83919.77
777,110808.266
779,112329.65
780,106929.88
783,105958.055
787,171931.0
795,106929.88
808,286928.47
829,267087.66
830,287641.56
835,153348.31
838,115641.48
840,115641.48
843,113942.27
860,168637.55
869,154307.64
872,112329.65
876,187641.95
880,195399.77
887,167588.95
892,216435.98
918,157352.14
924,133762.56
934,97327.76
936,94953.4
938,86029.86
958,218468.72
961,224103.14
964,61840.934
965,79443.836
969,102107.35
977,84200.07
978,182029.14
991,102107.35
1003,94247.13
1008,152869.86
1009,76482.695
1023,85164.79
1043,81199.78
1044,81048.6
1045,167588.95
1046,106929.88
1050,213132.64
1051,156959.83
1058,226159.7
1061,305014.1
1063,93319.24
1065,139491.11
1077,78874.66
1080,127419.46
1081,125244.38
1089,78874.66
1122,247244.48
1126,157146.73
1127,106929.9
1134,102967.27
1145,75782.414
1151,64981.918
1153,97327.77
1168,77973.07
1169,113264.65
1170,174972.81
1182,82349.516
1211,170653.23
1348,101979.28
1394,59218.004
1424,161624.3
1429,195958.16
1494,175163.95
1516,157672.62
1530,207570.17
1534,155784.14
1539,767886.75
1548,197087.55
1550,123032.5
1577,172637.61
1611,168400.56
1615,113530.88
1622,114451.95
1635,157046.45
1647,122509.805
1650,114451.95
1651,112947.266
1698,59044.38
1701,67915.85
1729,53154.902
1769,95282.19
1778,89953.664
1779,107898.66
1842,59158.37
1863,68366.734
1870,49930.703
1872,60733.02
1886,53789.957
1890,100383.14
1913,115606.95
1946,61322.816
1954,89806.2
1983,102109.164
1985,67120.26
2066,76020.12
2229,54907.234
2332,84375.6
2380,92896.74
2487,148768.23
2491,160344.3
2587,85062.01
2634,69896.445
2700,87779.125
2785,117360.8
2794,117476.65
2804,112272.54
2809,117360.8
2810,57490.77
2812,112019.38
2876,87779.125
2899,100852.68
2913,76530.18
2983,117476.64
3062,106973.26
3171,76632.76
3271,205988.5
3286,68665.03
3294,53205.51
3307,77770.914
3339,58987.676
3340,3284790.0
3376,64828.973
3383,205988.5
3395,114157.43
3415,84513.37
3418,60582.203
3421,61572.668
3453,81539.734
3470,95107.11
3474,80571.42
3508,115238.95
3542,211809.56
3565,82798.68
3577,211809.56
3578,208255.62
3584,66810.12
3586,206623.08
3593,82217.95
3614,90038.805
3661,206623.08
3680,81253.86
3720,206623.08
3724,95375.93
3733,206623.08
3750,98259.49
3767,104481.336
3787,98259.49
3810,89971.05
3815,84349.95
3863,64638.168
3872,62980.69
3900,211809.56
3951,167792.03
3954,211809.56
3987,414513.9
3988,83862.56
4029,85447.805
4041,487742.22
4072,80179.305
4085,226528.92
4088,237404.92
4098,152397.8
4110,487742.22
4124,84525.82
4130,260562.53
4138,181783.84
4149,57552.754
4154,225871.17
4163,247910.7
4187,260562.53
4196,252103.34
4212,151194.81
4222,247910.7
4227,260562.53
4234,506641.28
4237,273367.62
4245,76986.43
4261,152397.8
4289,82151.125
4291,57563.31
4295,81910.9
4303,55856.254
4317,83689.82
4323,204796.77
4344,242519.22
4371,520027.6
4375,331759.1
4379,313787.16
4387,414513.9
4401,239991.48
4436,151194.81
4446,451205.44
